New,Score,Title,Company,Location,Contract,Source,Date,Link
,31,PMO and Junior Traction Project Manager (H/F),ALSTOM TRANSPORT SA,"Zurich, Suisse",VIE (18 months),VIE,2026-06-25,https://mon-vie-via.businessfrance.fr/offres/244127
,29,Growth Strategy Analyst - New Business (VIE) - Barcelona (H/F),FLASH CONTRACT,"Barcelone, Espagne",VIE (12 months),VIE,2026-07-22,https://mon-vie-via.businessfrance.fr/offres/244789
,27,Finance and Strategy Analyst,Stripe,Dublin OR London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7963763
,23,Product & Project Manager (H/F),SELTECH,"Raleigh -Nc-, Etats-Unis",VIE (18 months),VIE,2026-06-17,https://mon-vie-via.businessfrance.fr/offres/243885
,22,Finance & Strategy Analyst,Stripe,"CHI, SEA, NYC, SF",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7985368
,21,Group Transformation PMO (H/F),LYNXEO FRANCE,"Nuremberg, Allemagne",VIE (12 months),VIE,2026-07-07,https://mon-vie-via.businessfrance.fr/offres/244452
,21,VIE – Business Development & Distribution Network Coordinator – Equine Veterinary Sector (Poland) (H/F),LIM FRANCE,"Varsovie, Pologne",VIE (24 months),VIE,2026-03-12,https://mon-vie-via.businessfrance.fr/offres/237862
,21,VIE – Business Development & Distribution Network Coordinator – Equine Veterinary Sector (Italy) (H/F),LIM FRANCE,"Turin, Italie",VIE (24 months),VIE,2026-03-12,https://mon-vie-via.businessfrance.fr/offres/237861
,21,BUSINESS DEVELOPMENT EXECUTIVE (H/F),INTERNATIONAL SOS (ASSISTANCE) SA,"Bruxelles, Belgique",VIE (12 months),VIE,2026-07-15,https://mon-vie-via.businessfrance.fr/offres/244603
,21,Business Development (H/F),CEVA FRANCE,"Nairobi, Kenya",VIE (24 months),VIE,2026-06-24,https://mon-vie-via.businessfrance.fr/offres/244095
,21,GTM Strategy and Operations Associate,Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-21,https://careers.datadoghq.com/detail/7843331/?gh_jid=7843331
,19,"Business Operations Analyst – San Francisco, CA (H/F)",PLANISWARE,"San Francisco -Ca-, Etats-Unis",VIE (18 months),VIE,2026-07-08,https://mon-vie-via.businessfrance.fr/offres/244495
,19,Central Region Business Development (H/F),ROUTIN,"Denver -Co-, Etats-Unis",VIE (18 months),VIE,2026-07-15,https://mon-vie-via.businessfrance.fr/offres/244608
,19,Business Development & Recruitment Analyst (H/F),AYES SUD-OUEST,"Bruxelles, Belgique",VIE (24 months),VIE,2026-07-15,https://mon-vie-via.businessfrance.fr/offres/244601
,19,Business Development Executive (H/F),ACEPP ENTREPRISE,"Bristol, Royaume-Uni",VIE (12 months),VIE,2026-06-10,https://mon-vie-via.businessfrance.fr/offres/243692
,19,PACKAGING PROJECT MANAGER (H/F),ATPRINT ONLINE,"Cracovie, Pologne",VIE (12 months),VIE,2026-05-18,https://mon-vie-via.businessfrance.fr/offres/243103
,19,PACKAGING PROJECT MANAGER (H/F),ATPRINT ONLINE,"Dusseldorf, Allemagne",VIE (12 months),VIE,2026-05-18,https://mon-vie-via.businessfrance.fr/offres/243099
,19,Business Development Representative (H/F),SEFAC,"Warminster   -Pa-, Etats-Unis",VIE (18 months),VIE,2026-06-30,https://mon-vie-via.businessfrance.fr/offres/244250
,19,Junior Product Manager Oncology (H/F),SERVIER INTERNATIONAL,"Rome, Italie",VIE (12 months),VIE,2026-07-06,https://mon-vie-via.businessfrance.fr/offres/244343
,19,Technical Project Manager (H/F),JOLIROOM,"Budapest, Hongrie",VIE (12 months),VIE,2026-06-30,https://mon-vie-via.businessfrance.fr/offres/244225
,19,Business Development Sales Support (H/F),EXAIL,"Rabat, Maroc",VIE (12 months),VIE,2026-06-25,https://mon-vie-via.businessfrance.fr/offres/244107
,19,"Strategy and Operations Lead, Deal Pricing",Stripe,"New York City, Washington DC, Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8044391
,19,Workplace Strategy & Operations Manager,Stripe,San Francisco,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8016510
,19,"Manager, Growth Creative Strategy & Optimization - Markets & Subscribers",Spotify,"New York, NY",Permanent,Lever,,https://jobs.lever.co/spotify/7d4e94b7-ca5f-41a0-9222-5d6bb24e4950
,17,Chef de projet formulation junior (H/F),PIERRE FABRE DERMO-COSMETIQUE,"Shanghai, Chine",VIE (24 months),VIE,2026-07-21,https://mon-vie-via.businessfrance.fr/offres/244743
,17,Sales - Business Development (OIL &GAS) (H/F),AFRICA GLOBAL LOGISTICS,"Windhoek, Namibie",VIE (12 months),VIE,2026-07-20,https://mon-vie-via.businessfrance.fr/offres/244740
,17,Business Development / Strategic & Economic Support  (H/F),TOTALENERGIES RAFFINAGE CHIMIE,"Al Khobar, Arabie Saoudite",VIE (12 months),VIE,2026-06-15,https://mon-vie-via.businessfrance.fr/offres/243844
,17,Business development Manager - (H/F),NAVAL GROUP,"Riyadh, Arabie Saoudite",VIE (12 months),VIE,2026-07-17,https://mon-vie-via.businessfrance.fr/offres/244672
,17,Chef de Projet (H/F),DERICHEBOURG AERONAUTICS SERVICES FRANCE,"Hambourg, Allemagne",VIE (12 months),VIE,2026-06-29,https://mon-vie-via.businessfrance.fr/offres/244175
,17,Associate Product Manager (H/F),SERVIER INTERNATIONAL,"Prague, Tchequie / Republique Tcheque",VIE (12 months),VIE,2026-07-16,https://mon-vie-via.businessfrance.fr/offres/244620
,17,Food Safety Project Manager (H/F),EUROFINS GSC FRANCE,"Freiburg Im Breisgau, Allemagne",VIE (12 months),VIE,2026-07-15,https://mon-vie-via.businessfrance.fr/offres/244594
